Data Set 3:Time(s),Data Set 3:615 nm,Data Set 3:525 nm,Data Set 3:465 nm
20.80,25.680269,16.065695,7.299779
20.85,25.680269,16.065695,7.299779
20.90,25.152592,15.470668,7.994996
20.95,25.152592,15.470668,7.994996
21.00,25.504375,14.875642,6.952169
21.05,25.504375,14.875642,6.952169
21.10,23.745453,14.875642,6.952169
21.15,23.745453,14.875642,6.952169
21.20,23.217775,13.288906,5.909343
21.25,23.217775,13.288906,5.909343
21.30,21.458853,13.288906,5.909343
21.35,21.458853,13.288906,5.909343
21.40,20.931177,11.702171,4.866517
21.45,20.931177,11.702171,4.866517
21.50,19.172255,11.702171,4.866517
21.55,19.172255,11.702171,4.866517
21.60,19.348146,10.908804,5.214127
21.65,19.348146,10.908804,5.214127
21.70,17.589224,10.908804,5.214127
21.75,17.589224,10.908804,5.214127
21.80,17.589224,9.917095,3.476085
21.85,17.589224,9.917095,3.476085
21.90,17.765118,9.123727,3.823693
21.95,17.765118,9.123727,3.823693
22.00,15.302625,9.322068,4.171301
22.05,15.302625,9.322068,4.171301
22.10,16.006195,8.132017,2.085650
22.15,16.006195,8.132017,2.085650
22.20,15.478518,8.528702,1.042826
22.25,15.478518,8.528702,1.042826
22.30,15.654409,7.735334,1.390434
22.35,15.654409,7.735334,1.390434
22.40,15.654409,7.735334,1.390434
22.45,15.654409,7.735334,1.390434
22.50,15.654409,7.735334,1.390434
22.55,15.654409,7.735334,1.390434
22.60,16.357979,7.536993,1.042826
22.65,16.357979,7.536993,1.042826
22.70,16.357979,7.536993,1.042826
22.75,16.357979,7.536993,1.042826
22.80,17.237440,8.528702,1.042826
22.85,17.237440,8.528702,1.042826
22.90,18.116901,7.536993,1.042826
22.95,18.116901,7.536993,1.042826
23.00,18.644579,8.132017,0.347608
23.05,18.644579,8.132017,0.347608
23.10,20.403502,8.132017,0.347608
23.15,20.403502,8.132017,0.347608
23.20,21.107069,7.933676,0.000000
23.25,21.107069,7.933676,0.000000
23.30,22.162424,8.132018,0.347610
23.35,22.162424,8.132018,0.347610
23.40,22.162424,8.132018,0.347610
23.45,22.162424,8.132018,0.347610
23.50,23.217775,8.330359,0.695216
23.55,23.217775,8.330359,0.695216
23.60,24.449022,8.727042,0.000000
23.65,24.449022,8.727042,0.000000
23.70,25.152592,8.528702,0.000000
23.75,25.152592,8.528702,0.000000
23.80,25.504375,8.925385,0.000000
23.85,25.504375,8.925385,0.000000
23.90,25.328484,9.718752,0.000000
23.95,25.328484,9.718752,0.000000
24.00,26.032053,9.520411,0.000000
24.05,26.032053,9.520411,0.000000
24.10,26.032053,9.520411,0.000000
24.15,26.032053,9.520411,0.000000
24.20,27.439192,9.123728,0.000000
24.25,27.439192,9.123728,0.000000
24.30,27.790976,9.520411,0.000000
24.35,27.790976,9.520411,0.000000
24.40,29.374006,10.313778,0.000000
24.45,29.374006,10.313778,0.000000
24.50,31.484711,9.718752,0.000000
24.55,31.484711,9.718752,0.000000
24.60,32.012390,9.322068,0.000000
24.65,32.012390,9.322068,0.000000
24.70,32.540066,9.917095,0.000000
24.75,32.540066,9.917095,0.000000
24.80,32.540066,9.917095,0.000000
24.85,32.540066,9.917095,0.000000
24.90,32.540066,9.917095,0.000000
24.95,32.540066,9.917095,0.000000
25.00,33.243633,9.718752,0.000000
25.05,33.243633,9.718752,0.000000
25.10,33.243633,9.718752,0.000000
25.15,33.243633,9.718752,0.000000
25.20,33.243633,9.718752,0.000000
25.25,33.243633,9.718752,0.000000
25.30,31.660604,8.925385,0.000000
25.35,31.660604,8.925385,0.000000
25.40,30.605249,8.727042,0.000000
25.45,30.605249,8.727042,0.000000
25.50,29.901682,8.925385,0.000000
25.55,29.901682,8.925385,0.000000
25.60,27.263298,7.933676,0.000000
25.65,27.263298,7.933676,0.000000
25.70,25.328484,7.735333,0.000000
25.75,25.328484,7.735333,0.000000
25.80,23.745453,6.941966,0.000000
25.85,23.745453,6.941966,0.000000
25.90,22.514208,7.536993,0.000000
25.95,22.514208,7.536993,0.000000
26.00,21.282963,7.140308,0.347608
26.05,21.282963,7.140308,0.347608
26.10,20.755285,7.536993,0.000000
26.15,20.755285,7.536993,0.000000
26.20,20.755285,7.536993,0.000000
26.25,20.755285,7.536993,0.000000
26.30,20.227608,6.941966,0.000000
26.35,20.227608,6.941966,0.000000
26.40,18.996363,6.545283,1.042826
26.45,18.996363,6.545283,1.042826
26.50,17.941010,6.346940,0.695216
26.55,17.941010,6.346940,0.695216
26.60,17.413332,6.743625,0.000000
26.65,17.413332,6.743625,0.000000
26.70,16.885656,6.148599,0.347608
26.75,16.885656,6.148599,0.347608
26.80,16.885656,6.148599,0.347608
26.85,16.885656,6.148599,0.347608
26.90,16.182087,6.346940,0.695216
26.95,16.182087,6.346940,0.695216
27.00,15.478518,6.545283,1.042826
27.05,15.478518,6.545283,1.042826
27.10,15.126734,6.148599,0.347608
27.15,15.126734,6.148599,0.347608
27.20,15.126734,6.148599,0.347608
27.25,15.126734,6.148599,0.347608
27.30,14.599057,5.553574,1.042826
27.35,14.599057,5.553574,1.042826
27.40,14.599057,5.553574,1.042826
27.45,14.599057,5.553574,1.042826
27.50,14.599057,5.553574,1.042826
27.55,14.599057,5.553574,1.042826
27.60,14.599057,5.553574,1.042826
